"","state","inmate_tests","total_inmate_cases","total_inmate_deaths","latest_inmate_population","political_party","lean_towards_political_party"
"1","Alabama",15505,1601,64,19144,"R",27
"2","Alaska",27756,2428,5,5011,"R",16
"3","Arizona",43652,12229,44,38248,"R",8
"4","Arkansas",0,11378,52,14729,"R",26
"5","California",121207,49511,217,110471,"D",22
"6","Colorado",193165,9389,33,13346,"R",0
"7","Connecticut",73559,4655,19,8839,"D",10
"8","Delaware",12665,2020,13,4562,"D",12
"9","Florida",87677,18491,220,83622,"R",6
"10","Georgia",11947,3717,94,47585,"R",13
"11","Hawaii",7791,1432,9,2229,"D",36
"12","Idaho",29168,4115,6,7240,"R",33
"13","Illinois",477218,10894,86,30771,"D",13
"14","Indiana",20228,3563,39,25476,"R",17
"15","Iowa",44262,4935,19,7399,"R",9
"16","Kansas",43391,6202,16,8846,"R",21
"17","Kentucky",26433,7898,48,9969,"R",24
"18","Louisiana",14745,3195,37,13885,"R",19
"19","Maine",8246,169,1,1742,"D",3
"20","Maryland",65158,4083,28,20269,"D",23
"21","Massachusetts",29016,3018,20,6633,"D",23
"22","Michigan",673822,26243,139,34056,"D",6
"23","Minnesota",105390,4042,12,7525,"D",1
"24","Mississippi",3433,1470,24,16351,"R",15
"25","Missouri",92520,5705,48,23421,"R",21
"26","Montana",0,1148,6,3921,"R",18
"27","Nebraska",6776,982,6,5294,"R",25
"28","Nevada",12368,4714,53,0,"R",1
"29","New Hampshire",1583,453,3,2077,"R",1
"30","New Jersey",251841,4684,53,15046,"D",11
"31","New Mexico",44368,3124,29,5983,"D",8
"32","New York",73607,6334,35,40500,"D",22
"33","North Carolina",124617,10066,53,30699,"R",4
"34","North Dakota",32531,639,1,1370,"R",34
"35","Ohio",56275,8679,139,44599,"R",6
"36","Oklahoma",30802,7392,38,20484,"R",33
"37","Oregon",24852,3617,42,13577,"D",7
"38","Pennsylvania",60831,10191,123,39725,"R",1
"39","Rhode Island",41623,1194,2,2085,"D",24
"40","South Carolina",9921,3254,40,15865,"R",16
"41","South Dakota",7954,2355,7,3217,"R",28
"42","Tennessee",40445,6637,42,19401,"R",28
"43","Texas",479959,34735,206,127814,"R",17
"44","Utah",27053,3443,16,6266,"R",30
"45","Vermont",19838,456,0,1368,"D",24
"46","Virginia",99317,9056,56,26489,"D",7
"47","Washington",11022,6190,14,14817,"D",15
"48","West Virginia",10778,1576,9,9905,"R",33
"49","Wisconsin",97445,10939,26,20210,"R",3
"50","Wyoming",28376,879,3,1840,"R",45
